Argentina,Fox,11/1/18,"$791,703 ",13.70%,"$5,773,242 ",1/20/19
Australia,Fox,11/1/18,"$4,864,433 ",13.90%,"$35,092,841 ",1/20/19
Austria,Fox,11/1/18,"$939,080 ",100%,"$939,080 ",11/4/18
Belgium,Fox,10/31/18,"$852,058 ",100%,"$852,058 ",11/4/18
Bolivia,Manfer,11/1/18,"$132,571 ",19.20%,"$692,260 ",1/20/19
Brazil,Fox,11/1/18,"$2,389,986 ",16.60%,"$14,394,701 ",1/20/19
Bulgaria,Alexandra,11/2/18,"$101,637 ",11.60%,"$878,137 ",1/20/19
Chile,Fox,11/1/18,"$1,259,970 ",24.90%,"$5,052,624 ",1/2/19
Colombia,Fox,11/1/18,"$870,859 ",19.20%,"$4,529,837 ",1/20/19
Croatia,Blitz,11/1/18,"$388,642 ",35.30%,"$1,100,751 ",1/20/19
Czech Republic,CinemArt,11/1/18,"$684,600 ",7.60%,"$9,015,033 ",1/20/19
Denmark,Fox,11/1/18,"$1,068,400 ",100%,"$1,068,400 ",11/4/18
Ecuador,Fox,11/2/18,"$594,095 ",100%,"$594,095 ",11/4/18
Finland,Fox,11/2/18,"$821,483 ",100%,"$821,483 ",11/4/18
France,Fox,10/31/18,"$8,099,478 ",22.40%,"$36,238,874 ",1/20/19
Germany,Fox,11/1/18,"$5,590,968 ",18.80%,"$29,800,943 ",1/20/19
Greece,Odeon,11/1/18,"$210,426 ",18.40%,"$1,142,626 ",1/20/19
Hong Kong,Fox,11/1/18,"$260,751 ",25%,"$1,043,815 ",12/2/18
Hungary,Forum,11/1/18,"$583,617 ",19.60%,"$2,973,201 ",1/20/19
Iceland,Sena,11/2/18,"$69,878 ",12.80%,"$543,806 ",1/27/19
Indonesia,Fox,10/31/18,"$1,037,805 ",41.90%,"$2,477,731 ",11/11/18
Italy,Fox,11/29/18,"$6,127,405 ",20.10%,"$30,534,297 ",1/20/19
Japan,Fox,11/10/18,"$4,310,101 ",4.90%,"$88,631,919 ",1/20/19
Lithuania,Fox,11/2/18,"$157,476 ",12.10%,"$1,303,468 ",1/27/19
Mexico,Fox,11/2/18,"$5,679,029 ",28.90%,"$19,655,046 ",12/23/18
Netherlands,Fox,11/1/18,"$1,672,179 ",8.70%,"$19,254,571 ",1/20/19
New Zealand,Fox,11/1/18,"$736,225 ",15.50%,"$4,737,387 ",1/20/19
Norway,Fox,11/2/18,"$774,349 ",12.90%,"$5,981,194 ",1/27/19
Paraguay,Life,11/1/18,"$80,154 ",21.40%,"$375,368 ",1/20/19
Peru,Fox,11/1/18,"$566,940 ",100%,"$566,940 ",11/4/18
Philippines,Fox,10/31/18,"$896,456 ",42.10%,"$2,131,349 ",11/11/18
Poland,Cinepix,11/2/18,"$1,220,378 ",16.50%,"$7,378,856 ",1/20/19
Portugal,Fox,11/1/18,"$730,798 ",21.70%,"$3,363,517 ",1/27/19
Romania,Odeon,11/2/18,"$300,055 ",14.30%,"$2,101,363 ",1/27/19
Russia - CIS,Fox,11/1/18,"$4,029,286 ",24.70%,"$16,321,491 ",1/20/19
Serbia & Montenegro,MCF,11/1/18,"$81,581 ",26.10%,"$311,977 ",12/19/18
Slovakia,CinemArt,11/1/18,"$368,266 ",14.50%,"$2,543,866 ",1/20/19
Slovenia,Blitz,11/1/18,"$158,944 ",13.90%,"$1,142,936 ",1/27/19
South Africa,TMF,11/30/18,"$287,575 ",10.60%,"$2,708,988 ",1/27/19
South Korea,Fox,11/1/18,"$5,638,469 ",7.40%,"$75,943,744 ",1/20/19
Spain,Fox,11/2/18,"$5,196,290 ",18.10%,"$28,715,244 ",1/20/19
Sweden,Fox,11/2/18,"$1,414,683 ",50.60%,"$2,795,160 ",11/11/18
Switzerland,Fox,11/2/18,"$1,050,221 ",48.80%,"$2,150,592 ",11/11/18
Turkey,TME,11/2/18,"$230,814 ",12.20%,"$1,890,862 ",1/13/19
Ukraine,Fox,11/1/18,"$446,405 ",22.10%,"$2,017,808 ",1/20/19
United Arab Emirates,Fox,11/8/18,-,-,"$1,354,575 ",1/6/19
United Kingdom,Fox,10/26/18,"$12,479,936 ",18.80%,"$66,255,753 ",1/20/19
Uruguay,Life,11/1/18,"$63,231 ",12.30%,"$515,234 ",1/20/19